quote,author,category
You are what you write.,"Helvy Tiana Rosa, Risalah Cinta",writing
Write what you know.,"Mark Twain, The Adventures of Tom Sawyer & Adventures of Huckleberry Finn",writing
You can't edit a blank page,Nora Roberts,"nora-roberts, writing"
I write out of revenge.,William Goldman,writing
God pity the poor novelist.,"Steven Millhauser, Edwin Mullhouse: The Life and Death of an American Writer 1943-1954 by Jeffrey Cartwright",writing
"My pen shall heal, not hurt.","L.M. Montgomery, Emily Climbs","heal, satire, writing"
Write to your fear.,Dorothy Allison,"on-writing, writing"
Writer speaks a stench.,Franz Kafka,writing
Writing is prayer.,Franz Kafka,"prayer, writing"
A writing may be lost, a lie may be written, but what the eye has seen is truth and remains in the mind!
All novels are sequels, influence is bliss.,Michael Chabon
Reading maketh a full man, conference a ready man, and writing an exact man.
"In a way, I was safe writing","Franz Kafka, Letter to His Father","safe, way, writing"
Get black on white.,Guy de Maupassant,"printing, writing"
I wisely started with a map.,J.R.R. Tolkien,writing
I don't write fantasy, I write historical novels about an imaginary place.,Raymond E. Feist
All Poets are mad.,Robert  Burton,writing
I write with all my heart,Ursula K. Le Guin,writing
Shut up and write.,K.A. Laity,"inspiration, writing"
I write to reach eternity,James  Jones,"inspirational, writing"
All writing is filth,"Antonin Artaud, The Theater and Its Double",writing
Work. Don't Think. Relax.,Ray Bradbury,"inspirational, relaxation, writing"
murder your darlings,Arthur Quiller-Couch,writing
All plots are cliche.,"Jincy Willett, The Writing Class",writing
Less is more.,"William Zinsser, On Writing Well: The Classic Guide To Writing Nonfiction",writing
One Lifetime is not enough.,Maurice Northmore,"reading, writing"
Good writing is always new.,"A.S. Byatt, On Histories and Stories: Selected Essays",writing
Only write if you can't not.,Samuel Shem,writing
Put the baby on the paper.,Barbara O'Connor,writing
You can t coast uphill.,Roger Crawford,inspiration
We are wiser than we know.,Ralph Waldo Emerson,inspiration
Why give up?Why give in?,Breaking Benjamin,inspiration
"Who dares, win",Paulo Coelho,"inspiration, optimistic"
"Play to win, not ""not to lose"".",Dondi Scumaci,"competition, inspiration"
One more thing...,Steve Jobs,inspiration
Momentum builds success.,"Suzy Kassem, Rise Up and Salute the Sun: The Writings of Suzy Kassem","affirmation, ambition, aspiration, attitude, build, building, building-success, dream, drive, energy, focus, goal, inspiration, inspirational, momentum, motivation, motivational, rest, success, suzy-kassem, thickness"
Good men do the most harm.,Henry Adams,inspiration
Think it. Write it. Sell it.,Dee J. Adams,inspiration
Trust your inner voice.,Lynn A. Robinson,"inspiration, intuition, self-help"
Anything is Possible!,Sealove,"dreams, inspiration, life"
Goutam Buddha,"Inspiration, A-Z of Bullions",inspiration
I dream into my future.,Virginia Phillips,"empowerment, inspiration"
Awaken your heart!,"Stefan Emunds, Holistic Self-realization","body-mind-soul, holistic, inspiration, inspirational, inspirer, life-lesson, positive-life, positive-psychology, self-help, self-realization"
"Big or small, sin is sin!","Israelmore Ayivor, Six Words Inspiration","6, bible, big, big-sin, christ, god, heaven-hell, holy-spirit, inspiration, jesus, jesus-christ, little, little-sins, prayer, repent, repentance, salvation, short-words, sin, sin-is-sin, sinful, sinner, six, six-words, six-words-inspiration, small, small-sin"
"Soon, the pain will be over!","Israelmore Ayivor, Six Words Inspiration","6, bitter, inspiration, pain, painful, sad, sad-news, short-words, six, six-words, six-words-inspiration, soon, tear, tears"
"If you're wrong, admit it!",Dale Carnegie,"inspiration, relationships"
life and time are equal,mukasa ronald,inspiration
What Is A Belief?,Maxime  Daigle,"atheism, awakening, awareness, conspiracy, critical-thinking, freedom, inspiration, law, logical-thinking, morals, peace-of-mind, peace-on-earth, politics, reality, religion, self-growth-and-improvement, self-help, society, spirituality, truth"
Enthusiasm builds Faith, Enthusiasm generates Hope, Enthusiasm is a Power that will make you cope!
Be your own star..,Siddhant R. Shinde,"believe, determination, helpful, inspiration, motivation"
Music is my higher power,Oliver James,"music, religion"
In BANKSY we trust.,"Colin Tegerdine, You Can't Google Life","inspirational, love, religion"
Heresy kicks ass.,"P.S. Baber, Cassie Draws the Universe","heresy, religion"
I was reborn...as ME!,Anthony T. Hincks,"as, life, me, philosophy, reborn, religion"
Darkness feeds on apathy.,"Dan Brown, The Lost Symbol",knowledge
"Enough talk, now read!","Toba Beta, Master of Stupidity",knowledge
Knowing leads to caring.,"Shaun David Hutchinson, The Five Stages of Andrew Brawley",knowledge
Change is constant.,"Rajen Jani, Once Upon A Time: 100 Management Stories","anger, change, communication, conflict, customer, improvement, inspirational, knowledge, leadership, management, motivation, performance, problem, quality, relationship, sales, strategy, success, team, time, training, work"
Words motivate.,"Rajen Jani, Once Upon A Time: 100 Management Stories","anger, change, communication, conflict, customer, improvement, inspirational, knowledge, leadership, management, motivation, performance, problem, quality, relationship, sales, strategy, success, team, time, training, work"
Conflicts are expensive.,"Rajen Jani, Once Upon A Time: 100 Management Stories","anger, change, communication, conflict, customer, improvement, inspirational, knowledge, leadership, management, motivation, performance, problem, quality, relationship, sales, strategy, success, team, time, training, work"
Recognition motivates.,"Rajen Jani, Once Upon A Time: 100 Management Stories","anger, change, communication, conflict, customer, improvement, inspirational, knowledge, leadership, management, motivation, performance, problem, quality, relationship, sales, strategy, success, team, time, training, work"
The earth is round!,Gandalf,knowledge
Success is a poor teacher,"Robert T. Kiyosaki, Cashflow Quadrant: Rich Dad's Guide to Financial Freedom","motivational, success"
"No guts, no story.",Chris Brady,"attitude, inspirational, leadership, success"
Have nuts and be nuts.,"Criss Jami, Diotima, Battery, Electric Personality","bravery, courage, crazy, extreme, fearlessness, humor, inspirational, motivational, nuts, risk, strength, success"
"If not now, when?","Steve Backley, The Champion in all of Us: 12 Rules for Success","12-rules-for-success, allegorical, enhanced-performance, inspirational, life-changing, life-coaching, mind-body-spirit, motivational, new-thought, olympic, olympic-story, olympics, positivity, self-help, self-help-book, spiritual-story, steve-backley, success, success-coaching, the-champion-in-all-of-us"
"If not you, who?","Steve Backley, The Champion in all of Us: 12 Rules for Success","12-rules-for-success, allegorical, enhanced-performance, inspirational, life-changing, life-coaching, mind-body-spirit, motivational, new-thought, olympic, olympic-story, olympics, positivity, self-help, self-help-book, spiritual-story, steve-backley, success, success-coaching, the-champion-in-all-of-us"
